┌────┬──────────────────────────────────────────┬─────────────┬─────────┬─────────┬──────────┬────────┬──────┬───────────┬──────────┬──────────┬──────────┬──────────┐
│ id │ name                                     │ namespace   │ version │ mode    │ pid      │ uptime │ ↺    │ status    │ cpu      │ mem      │ user     │ watching │
├────┼──────────────────────────────────────────┼─────────────┼─────────┼─────────┼──────────┼────────┼──────┼───────────┼──────────┼──────────┼──────────┼──────────┤
│ 17 │ auto-folder-update                       │ default     │ N/A     │ fork    │ 0        │ 0      │ 0    │ stopped   │ 0%       │ 0b       │ user     │ disabled │
│ 9  │ collector-monitor                        │ default     │ N/A     │ fork    │ 57784    │ 2D     │ 0    │ online    │ 0%       │ 11.9mb   │ user     │ disabled │
│ 8  │ crypto-index-collector                   │ default     │ N/A     │ fork    │ 308180   │ 3m     │ 1468 │ online    │ 0%       │ 31.2mb   │ user     │ disabled │
│ 15 │ db-maintenance                           │ default     │ N/A     │ fork    │ 0        │ 0      │ 0    │ stopped   │ 0%       │ 0b       │ user     │ disabled │
│ 14 │ disk-monitor                             │ default     │ N/A     │ fork    │ 0        │ 0      │ 0    │ stopped   │ 0%       │ 0b       │ user     │ disabled │
│ 20 │ flask-app                                │ default     │ N/A     │ fork    │ 225123   │ 31h    │ 12   │ online    │ 0%       │ 457.9mb  │ user     │ disabled │
│ 18 │ fund-monitor-collector                   │ default     │ N/A     │ fork    │ 185857   │ 2D     │ 1    │ online    │ 0%       │ 28.2mb   │ user     │ disabled │
│ 10 │ gdrive-auto-trigger                      │ default     │ N/A     │ fork    │ 57785    │ 2D     │ 0    │ online    │ 0%       │ 29.7mb   │ user     │ disabled │
│ 3  │ gdrive-monitor                           │ default     │ N/A     │ fork    │ 70130    │ 2D     │ 2    │ online    │ 0%       │ 58.3mb   │ user     │ disabled │
│ 16 │ log-cleanup                              │ default     │ N/A     │ fork    │ 0        │ 0      │ 0    │ stopped   │ 0%       │ 0b       │ user     │ disabled │
│ 11 │ panic-wash-collector                     │ default     │ N/A     │ fork    │ 57789    │ 2D     │ 0    │ online    │ 0%       │ 26.8mb   │ user     │ disabled │
│ 7  │ position-system-collector                │ default     │ N/A     │ fork    │ 307863   │ 9m     │ 138  │ online    │ 0%       │ 31.1mb   │ user     │ disabled │
│ 12 │ price-comparison-collector               │ default     │ N/A     │ fork    │ 57790    │ 2D     │ 0    │ online    │ 0%       │ 16.8mb   │ user     │ disabled │
│ 21 │ sar-slope-collector                      │ default     │ N/A     │ fork    │ 223256   │ 31h    │ 4    │ online    │ 0%       │ 19.2mb   │ user     │ disabled │
│ 5  │ support-resistance-collector             │ default     │ N/A     │ fork    │ 57818    │ 2D     │ 1    │ online    │ 0%       │ 37.9mb   │ user     │ disabled │
│ 6  │ support-resistance-snapshot-collector    │ default     │ N/A     │ fork    │ 57781    │ 2D     │ 0    │ online    │ 0%       │ 22.1mb   │ user     │ disabled │
│ 0  │ sync-indicators-daemon                   │ default     │ N/A     │ fork    │ 57774    │ 2D     │ 0    │ online    │ 0%       │ 9.9mb    │ user     │ disabled │
│ 13 │ telegram-notifier                        │ default     │ N/A     │ fork    │ 266010   │ 12h    │ 5    │ online    │ 0%       │ 31.9mb   │ user     │ disabled │
│ 4  │ v1v2-collector                           │ default     │ N/A     │ fork    │ 57808    │ 2D     │ 1    │ online    │ 0%       │ 26.9mb   │ user     │ disabled │
│ 2  │ websocket-collector                      │ default     │ N/A     │ fork    │ 57776    │ 2D     │ 0    │ online    │ 0%       │ 173.3mb  │ user     │ disabled │
└────┴──────────────────────────────────────────┴─────────────┴─────────┴─────────┴──────────┴────────┴──────┴───────────┴──────────┴──────────┴──────────┴──────────┘
